college_id,College Name,Fees,Average Package,Highest Package,Rating,Ranking,Main Link,Reviews Link
1,"IIT Bombay - Indian Institute of Technology - [IITB], Mumbai","₹ 2,36,000","₹ 23,50,000","₹ 1,00,00,000",4.4 / 5,# 1 th / 500 in India 2025,https://collegedunia.com/university/25703-iit-bombay-indian-institute-of-technology-iitb-mumbai,https://collegedunia.com/university/25703-iit-bombay-indian-institute-of-technology-iitb-mumbai/reviews
2,"IIT Delhi - Indian Institute of Technology [IITD], New Delhi","₹ 2,27,750","₹ 25,82,000","₹ 2,00,00,000",4.3 / 5,# 2 th / 500 in India 2025,https://collegedunia.com/university/25455-iit-delhi-indian-institute-of-technology-iitd-new-delhi,https://collegedunia.com/university/25455-iit-delhi-indian-institute-of-technology-iitd-new-delhi/reviews
3,"IIT Madras - Indian Institute of Technology - [IITM], Chennai","₹ 2,53,417","₹ 21,48,000","₹ 4,30,00,000",4.3 / 5,# 3 th / 500 in India 2025,https://collegedunia.com/university/25881-iit-madras-indian-institute-of-technology-iitm-chennai,https://collegedunia.com/university/25881-iit-madras-indian-institute-of-technology-iitm-chennai/reviews
4,"IIT Kanpur - Indian Institute of Technology - [IITK], Kanpur","₹ 2,00,000","₹ 17,20,000","₹ 1,90,00,000",4.4 / 5,# 4 th / 500 in India 2025,https://collegedunia.com/university/25948-iit-kanpur-indian-institute-of-technology-iitk-kanpur,https://collegedunia.com/university/25948-iit-kanpur-indian-institute-of-technology-iitk-kanpur/reviews
5,"IIT Kharagpur - Indian Institute of Technology - [IITKGP], Kharagpur","₹ 2,30,600","₹ 24,30,000","₹ 2,14,00,000",4.4 / 5,# 5 th / 500 in India 2025,https://collegedunia.com/university/26007-iit-kharagpur-indian-institute-of-technology-iitkgp-kharagpur,https://collegedunia.com/university/26007-iit-kharagpur-indian-institute-of-technology-iitkgp-kharagpur/reviews
6,"IIT Roorkee - Indian Institute of Technology - [IITR], Roorkee","₹ 2,24,100","₹ 18,34,000","₹ 1,30,00,000",4.3 / 5,# 6 th / 500 in India 2025,https://collegedunia.com/university/25992-iit-roorkee-indian-institute-of-technology-iitr-roorkee,https://collegedunia.com/university/25992-iit-roorkee-indian-institute-of-technology-iitr-roorkee/reviews
7,"IIT Guwahati - Indian Institute of Technology - [IITG], Guwahati","₹ 2,43,700","₹ 25,21,000","₹ 1,25,00,000",4.3 / 5,# 7 th / 500 in India 2025,https://collegedunia.com/university/25396-iit-guwahati-indian-institute-of-technology-iitg-guwahati,https://collegedunia.com/university/25396-iit-guwahati-indian-institute-of-technology-iitg-guwahati/reviews
80,"BITS Pilani, Pilani","₹ 6,38,175","₹ 22,00,000","₹ 60,75,000",4.4 / 5,# 8 th / 500 in India 2025,https://collegedunia.com/university/25800-bits-pilani-pilani,https://collegedunia.com/university/25800-bits-pilani-pilani/reviews
8,"IIT Hyderabad - Indian Institute of Technology - [IITH], Hyderabad","₹ 2,49,888","₹ 20,81,000","₹ 66,13,000",4.3 / 5,# 9 th / 500 in India 2025,https://collegedunia.com/university/25356-iit-hyderabad-indian-institute-of-technology-iith-hyderabad,https://collegedunia.com/university/25356-iit-hyderabad-indian-institute-of-technology-iith-hyderabad/reviews
24,"NIT Trichy, Tiruchirappalli","₹ 1,85,450","₹ 16,43,000","₹ 64,00,000",4.1 / 5,# 11 th / 500 in India 2025,https://collegedunia.com/university/25889-nit-trichy-tiruchirappalli,https://collegedunia.com/university/25889-nit-trichy-tiruchirappalli/reviews
25,"National Institute of Technology - [NITK], Surathkal","₹ 1,66,950","₹ 24,56,000","₹ 55,00,000",4.2 / 5,# 12 th / 500 in India 2025,https://collegedunia.com/university/25620-national-institute-of-technology-nitk-surathkal,https://collegedunia.com/university/25620-national-institute-of-technology-nitk-surathkal/reviews
22,"ISM Dhanbad - Indian Institute of Technology - [IITISM], Dhanbad","₹ 3,22,800","₹ 20,61,000","₹ 66,14,000",4.3 / 5,# 13 th / 500 in India 2025,https://collegedunia.com/university/25581-ism-dhanbad-indian-institute-of-technology-iitism-dhanbad,https://collegedunia.com/university/25581-ism-dhanbad-indian-institute-of-technology-iitism-dhanbad/reviews
26,"NIT Warangal, Warangal","₹ 1,70,000","₹ 13,30,000","₹ 64,63,000",4.1 / 5,# 14 th / 500 in India 2025,https://collegedunia.com/university/25367-nit-warangal-warangal,https://collegedunia.com/university/25367-nit-warangal-warangal/reviews
55,"International Institute of Information Technology - [IIIT], Hyderabad","₹ 4,50,000","₹ 33,96,000","₹ 1,28,00,000",4.1 / 5,# 15 th / 500 in India 2025,https://collegedunia.com/university/25357-international-institute-of-information-technology-iiit-hyderabad,https://collegedunia.com/university/25357-international-institute-of-information-technology-iiit-hyderabad/reviews
108,"Indian Institute of Science - [IISc], Bangalore","₹ 2,20,800","₹ 28,00,000","₹ 85,00,000",4.4 / 5,# 16 th / 500 in India 2025,https://collegedunia.com/university/25603-indian-institute-of-science-iisc-bangalore,https://collegedunia.com/university/25603-indian-institute-of-science-iisc-bangalore/reviews
14,"IIT Mandi- Indian Institute of Technology - [IITM], Mandi","₹ 2,19,000","₹ 25,23,000","₹ 65,00,000",4.1 / 5,# 17 th / 500 in India 2025,https://collegedunia.com/university/25559-iit-mandi-indian-institute-of-technology-iitm-mandi,https://collegedunia.com/university/25559-iit-mandi-indian-institute-of-technology-iitm-mandi/reviews
13,"IIT Patna - Indian Institute of Technology - [IITP], Patna","₹ 2,73,250","₹ 23,90,000","₹ 1,62,00,000",4.2 / 5,# 18 th / 500 in India 2025,https://collegedunia.com/university/25409-iit-patna-indian-institute-of-technology-iitp-patna,https://collegedunia.com/university/25409-iit-patna-indian-institute-of-technology-iitp-patna/reviews
11,"IIT Gandhinagar - Indian Institute of Technology - [IITG], Gandhinagar","₹ 2,29,426",,,4.3 / 5,# 19 th / 500 in India 2025,https://collegedunia.com/university/25495-iit-gandhinagar-indian-institute-of-technology-iitg-gandhinagar,https://collegedunia.com/university/25495-iit-gandhinagar-indian-institute-of-technology-iitg-gandhinagar/reviews
29,"MNNIT Allahabad - Motilal Nehru National Institute of Technology - [MNNIT], Allahabad","₹ 1,68,000","₹ 20,43,000","₹ 72,00,000",4.2 / 5,# 20 th / 500 in India 2025,https://collegedunia.com/university/25961-mnnit-allahabad-motilal-nehru-national-institute-of-technology-mnnit-allahabad,https://collegedunia.com/university/25961-mnnit-allahabad-motilal-nehru-national-institute-of-technology-mnnit-allahabad/reviews
15,"IIT Jodhpur - Indian Institute of Technology - [IITJ], Jodhpur","₹ 2,54,800","₹ 21,30,000","₹ 53,00,000",4.4 / 5,# 21 th / 500 in India 2025,https://collegedunia.com/university/28194-iit-jodhpur-indian-institute-of-technology-iitj-jodhpur,https://collegedunia.com/university/28194-iit-jodhpur-indian-institute-of-technology-iitj-jodhpur/reviews
106,"Netaji Subhas University of Technology - [NSUT], New Delhi","₹ 2,50,000","₹ 16,78,000","₹ 65,00,000",3.7 / 5,# 22 th / 500 in India 2025,https://collegedunia.com/university/14479-netaji-subhas-university-of-technology-nsut-new-delhi,https://collegedunia.com/university/14479-netaji-subhas-university-of-technology-nsut-new-delhi/reviews
57,"Indian Institute of Information Technology - [IIIT], Allahabad","₹ 2,26,610","₹ 25,78,000","₹ 1,21,00,000",4.3 / 5,# 23 th / 500 in India 2025,https://collegedunia.com/university/25945-indian-institute-of-information-technology-iiit-allahabad,https://collegedunia.com/university/25945-indian-institute-of-information-technology-iiit-allahabad/reviews
28,"National Institute of Technology - [NITC], Calicut","₹ 2,11,500","₹ 13,39,000","₹ 43,24,000",4 / 5,# 24 th / 500 in India 2025,https://collegedunia.com/university/25651-national-institute-of-technology-nitc-calicut,https://collegedunia.com/university/25651-national-institute-of-technology-nitc-calicut/reviews
56,"International Institute of Information Technology - [IIIT-B], Bangalore","₹ 4,60,000","₹ 21,80,000","₹ 65,00,000",4.2 / 5,# 25 th / 500 in India 2025,https://collegedunia.com/university/25604-international-institute-of-information-technology-iiitb-bangalore,https://collegedunia.com/university/25604-international-institute-of-information-technology-iiitb-bangalore/reviews
81,"Birla Institute of Technology and Science - [BITS], South Goa","₹ 6,38,175","₹ 20,90,000","₹ 60,80,000",4.3 / 5,# 26 th / 500 in India 2025,https://collegedunia.com/university/13090-birla-institute-of-technology-and-science-bits-south-goa,https://collegedunia.com/university/13090-birla-institute-of-technology-and-science-bits-south-goa/reviews
82,"Birla Institute of Technology and Science - [BITS], Hyderabad","₹ 6,38,175","₹ 20,77,914","₹ 1,00,00,000",4.5 / 5,# 27 th / 500 in India 2025,https://collegedunia.com/university/28467-birla-institute-of-technology-and-science-bits-hyderabad,https://collegedunia.com/university/28467-birla-institute-of-technology-and-science-bits-hyderabad/reviews
27,"National Institute of Technology - [NIT], Rourkela","₹ 1,78,000","₹ 13,81,000","₹ 62,44,000",4.1 / 5,# 28 th / 500 in India 2025,https://collegedunia.com/university/24260-national-institute-of-technology-nit-rourkela,https://collegedunia.com/university/24260-national-institute-of-technology-nit-rourkela/reviews
23,"IIT Bhubaneswar - Indian Institute of Technology - [IITBBS], Bhubaneswar","₹ 2,41,690","₹ 16,98,000","₹ 67,60,000",4.1 / 5,# 29 th / 500 in India 2025,https://collegedunia.com/university/25759-iit-bhubaneswar-indian-institute-of-technology-iitbbs-bhubaneswar,https://collegedunia.com/university/25759-iit-bhubaneswar-indian-institute-of-technology-iitbbs-bhubaneswar/reviews
105,"Delhi Technological University - [DTU], New Delhi","₹ 2,47,700","₹ 15,45,000","₹ 85,30,000",4.2 / 5,# 30 th / 500 in India 2025,https://collegedunia.com/university/25449-delhi-technological-university-dtu-new-delhi,https://collegedunia.com/university/25449-delhi-technological-university-dtu-new-delhi/reviews
10,"IIT Indore - Indian Institute of Technology - [IITI], Indore","₹ 2,33,900","₹ 23,91,000","₹ 1,37,00,000",4.2 / 5,#34 th / 500 in India 2025,https://collegedunia.com/university/25666-iit-indore-indian-institute-of-technology-iiti-indore,https://collegedunia.com/university/25666-iit-indore-indian-institute-of-technology-iiti-indore/reviews
12,"IIT Ropar - Indian Institute of Technology - [IITR], Ropar","₹ 3,09,380","₹ 23,91,393","₹ 65,75,613",4.3 / 5,#35 th / 500 in India 2025,https://collegedunia.com/university/25786-iit-ropar-indian-institute-of-technology-iitr-ropar,https://collegedunia.com/university/25786-iit-ropar-indian-institute-of-technology-iitr-ropar/reviews
16,"IIT Tirupati - Indian Institute of Technology - [IITTP], Tirupati","₹ 2,20,420","₹ 15,54,000","₹ 41,64,000",4.2 / 5,#36 th / 500 in India 2025,https://collegedunia.com/university/55935-iit-tirupati-indian-institute-of-technology-iittp-tirupati,https://collegedunia.com/university/55935-iit-tirupati-indian-institute-of-technology-iittp-tirupati/reviews
58,"Atal Bihari Vajpayee Indian Institute of Information Technology and Management - [ABVIIITM], Gwalior","₹ 2,16,250","₹ 19,62,200","₹ 67,50,000",3.9 / 5,#37 th / 500 in India 2025,https://collegedunia.com/university/25664-atal-bihari-vajpayee-indian-institute-of-information-technology-and-management-abviiitm-gwalior,https://collegedunia.com/university/25664-atal-bihari-vajpayee-indian-institute-of-information-technology-and-management-abviiitm-gwalior/reviews
21,"IIT Goa - Indian Institute of Technology - [IIT Goa], Ponda","₹ 2,18,392","₹ 18,85,000","₹ 60,00,000",4.2 / 5,#38 th / 500 in India 2025,https://collegedunia.com/university/57671-iit-goa-indian-institute-of-technology-iit-goa-ponda,https://collegedunia.com/university/57671-iit-goa-indian-institute-of-technology-iit-goa-ponda/reviews
49,"National Institute of Technology - [NIT], New Delhi","₹ 1,61,600","₹ 17,19,000","₹ 58,50,000",3.8 / 5,#39 th / 500 in India 2025,https://collegedunia.com/university/25464-national-institute-of-technology-nit-new-delhi,https://collegedunia.com/university/25464-national-institute-of-technology-nit-new-delhi/reviews
30,"Malaviya National Institute of Technology - [MNIT], Jaipur","₹ 1,81,287","₹ 13,20,000","₹ 64,00,000",4.2 / 5,#40 th / 500 in India 2025,https://collegedunia.com/university/25828-malaviya-national-institute-of-technology-mnit-jaipur,https://collegedunia.com/university/25828-malaviya-national-institute-of-technology-mnit-jaipur/reviews
53,"Sardar Vallabhbhai National Institute of Technology - [SVNIT], Surat","₹ 2,15,000","₹ 8,12,000","₹ 62,00,000",4 / 5,#41 th / 500 in India 2025,https://collegedunia.com/university/25509-sardar-vallabhbhai-national-institute-of-technology-svnit-surat,https://collegedunia.com/university/25509-sardar-vallabhbhai-national-institute-of-technology-svnit-surat/reviews
20,"IIT Dharwad - Indian Institute of Technology - [IITD], Dharwad","₹ 2,00,000","₹ 12,63,000","₹ 52,00,000",4.3 / 5,#42 th / 500 in India 2025,https://collegedunia.com/university/57672-iit-dharwad-indian-institute-of-technology-iitd-dharwad,https://collegedunia.com/university/57672-iit-dharwad-indian-institute-of-technology-iitd-dharwad/reviews
35,"National Institute of Technology - [NIT], Jamshedpur","₹ 1,81,000","₹ 12,63,000","₹ 82,00,000",4 / 5,#43 th / 500 in India 2025,https://collegedunia.com/university/25584-national-institute-of-technology-nit-jamshedpur,https://collegedunia.com/university/25584-national-institute-of-technology-nit-jamshedpur/reviews
32,"National Institute of Technology - [NIT], Durgapur","₹ 1,73,700","₹ 7,35,000","₹ 51,00,000",4.3 / 5,#44 th / 500 in India 2025,https://collegedunia.com/university/26009-national-institute-of-technology-nit-durgapur,https://collegedunia.com/university/26009-national-institute-of-technology-nit-durgapur/reviews
103,"Jadavpur University - [JU], Kolkata","₹ 28,120","₹ 57,00,000",,4.3 / 5,#45 th / 500 in India 2025,https://collegedunia.com/university/26008-jadavpur-university-ju-kolkata,https://collegedunia.com/university/26008-jadavpur-university-ju-kolkata/reviews
19,"IIT Jammu - Indian Institute of Technology - [IITJ], Jammu","₹ 2,20,020","₹ 15,50,000","₹ 53,00,000",4.2 / 5,#48 th / 500 in India 2025,https://collegedunia.com/university/57662-iit-jammu-indian-institute-of-technology-iitj-jammu,https://collegedunia.com/university/57662-iit-jammu-indian-institute-of-technology-iitj-jammu/reviews
17,"IIT Palakkad - Indian Institute of Technology - [IITPKD], Palakkad","₹ 2,32,340","₹ 13,89,000","₹ 47,12,000",4.3 / 5,#49 th / 500 in India 2025,https://collegedunia.com/university/55934-iit-palakkad-indian-institute-of-technology-iitpkd-palakkad,https://collegedunia.com/university/55934-iit-palakkad-indian-institute-of-technology-iitpkd-palakkad/reviews
83,"Vellore Institute of Technology - [VIT University], Vellore","₹ 1,98,000","₹ 9,90,000","₹ 1,00,00,000",4.1 / 5,#50 th / 500 in India 2025,https://collegedunia.com/university/25914-vellore-institute-of-technology-vit-university-vellore,https://collegedunia.com/university/25914-vellore-institute-of-technology-vit-university-vellore/reviews
107,"Punjab Engineering College University of Technology - [PEC], Chandigarh","₹ 2,07,000","₹ 13,61,000","₹ 61,03,000",4 / 5,#51 th / 500 in India 2025,https://collegedunia.com/university/25424-punjab-engineering-college-university-of-technology-pec-chandigarh,https://collegedunia.com/university/25424-punjab-engineering-college-university-of-technology-pec-chandigarh/reviews
52,"Maulana Azad National Institute of Technology  - [MANIT], Bhopal","₹ 1,55,400","₹ 15,60,000","₹ 82,00,000",4 / 5,#52 th / 500 in India 2025,https://collegedunia.com/university/25679-maulana-azad-national-institute-of-technology-manit-bhopal,https://collegedunia.com/university/25679-maulana-azad-national-institute-of-technology-manit-bhopal/reviews
20,"IIT Dharwad - Indian Institute of Technology - [IITD], Dharwad","₹ 2,00,000","₹ 12,63,000","₹ 52,00,000",4.3 / 5,#42 th / 500 in India 2025,https://collegedunia.com/university/57672-iit-dharwad-indian-institute-of-technology-iitd-dharwad,https://collegedunia.com/university/57672-iit-dharwad-indian-institute-of-technology-iitd-dharwad/reviews
35,"National Institute of Technology - [NIT], Jamshedpur","₹ 1,81,000","₹ 12,63,000","₹ 82,00,000",4 / 5,#43 th / 500 in India 2025,https://collegedunia.com/university/25584-national-institute-of-technology-nit-jamshedpur,https://collegedunia.com/university/25584-national-institute-of-technology-nit-jamshedpur/reviews
32,"National Institute of Technology - [NIT], Durgapur","₹ 1,73,700","₹ 7,35,000","₹ 51,00,000",4.3 / 5,#44 th / 500 in India 2025,https://collegedunia.com/university/26009-national-institute-of-technology-nit-durgapur,https://collegedunia.com/university/26009-national-institute-of-technology-nit-durgapur/reviews
103,"Jadavpur University - [JU], Kolkata","₹ 28,120","₹ 57,00,000",,4.3 / 5,#45 th / 500 in India 2025,https://collegedunia.com/university/26008-jadavpur-university-ju-kolkata,https://collegedunia.com/university/26008-jadavpur-university-ju-kolkata/reviews
19,"IIT Jammu - Indian Institute of Technology - [IITJ], Jammu","₹ 2,20,020","₹ 15,50,000","₹ 53,00,000",4.2 / 5,#48 th / 500 in India 2025,https://collegedunia.com/university/57662-iit-jammu-indian-institute-of-technology-iitj-jammu,https://collegedunia.com/university/57662-iit-jammu-indian-institute-of-technology-iitj-jammu/reviews
17,"IIT Palakkad - Indian Institute of Technology - [IITPKD], Palakkad","₹ 2,32,340","₹ 13,89,000","₹ 47,12,000",4.3 / 5,#49 th / 500 in India 2025,https://collegedunia.com/university/55934-iit-palakkad-indian-institute-of-technology-iitpkd-palakkad,https://collegedunia.com/university/55934-iit-palakkad-indian-institute-of-technology-iitpkd-palakkad/reviews
83,"Vellore Institute of Technology - [VIT University], Vellore","₹ 1,98,000","₹ 9,90,000","₹ 1,00,00,000",4.1 / 5,#50 th / 500 in India 2025,https://collegedunia.com/university/25914-vellore-institute-of-technology-vit-university-vellore,https://collegedunia.com/university/25914-vellore-institute-of-technology-vit-university-vellore/reviews
107,"Punjab Engineering College University of Technology - [PEC], Chandigarh","₹ 2,07,000","₹ 13,61,000","₹ 61,03,000",4 / 5,#51 th / 500 in India 2025,https://collegedunia.com/university/25424-punjab-engineering-college-university-of-technology-pec-chandigarh,https://collegedunia.com/university/25424-punjab-engineering-college-university-of-technology-pec-chandigarh/reviews
52,"Maulana Azad National Institute of Technology  - [MANIT], Bhopal","₹ 1,55,400","₹ 15,60,000","₹ 82,00,000",4 / 5,#52 th / 500 in India 2025,https://collegedunia.com/university/25679-maulana-azad-national-institute-of-technology-manit-bhopal,https://collegedunia.com/university/25679-maulana-azad-national-institute-of-technology-manit-bhopal/reviews
18,"IIT Bhilai - Indian Institute of Technology - [IITB], Bhilai","₹ 2,00,000","₹ 13,28,000","₹ 49,00,000",4.2 / 5,#53 th / 500 in India 2025,https://collegedunia.com/university/56300-iit-bhilai-indian-institute-of-technology-iitb-bhilai,https://collegedunia.com/university/56300-iit-bhilai-indian-institute-of-technology-iitb-bhilai/reviews
51,"Dr BR Ambedkar National Institute of Technology - [NIT], Jalandhar","₹ 1,64,000","₹ 10,80,000","₹ 52,00,000",3.9 / 5,#54 th / 500 in India 2025,https://collegedunia.com/university/25781-dr-br-ambedkar-national-institute-of-technology-nit-jalandhar,https://collegedunia.com/university/25781-dr-br-ambedkar-national-institute-of-technology-nit-jalandhar/reviews
36,"National Institute of Technology - [NITP], Patna",--,"₹ 9,90,000","₹ 41,37,000",4 / 5,#55 th / 500 in India 2025,https://collegedunia.com/university/25417-national-institute-of-technology-nitp-patna,https://collegedunia.com/university/25417-national-institute-of-technology-nitp-patna/reviews
31,"National Institute of Technology - [NIT], Kurukshetra","₹ 1,87,000","₹ 13,21,000","₹ 63,12,000",4 / 5,#57 th / 500 in India 2025,https://collegedunia.com/university/25540-national-institute-of-technology-nit-kurukshetra,https://collegedunia.com/university/25540-national-institute-of-technology-nit-kurukshetra/reviews
59,"Indian Institute of Information Technology Design and Manufacturing - [IIITDM], Jabalpur","₹ 1,74,000","₹ 21,00,000","₹ 87,54,000",4 / 5,#58 th / 500 in India 2025,https://collegedunia.com/university/5843-indian-institute-of-information-technology-design-and-manufacturing-iiitdm-jabalpur,https://collegedunia.com/university/5843-indian-institute-of-information-technology-design-and-manufacturing-iiitdm-jabalpur/reviews
45,"National Institute of Technology - [NIT] Uttarakhand, Srinagar Garhwal","₹ 1,62,043","₹ 8,03,000","₹ 12,50,000",3.6 / 5,#59 th / 500 in India 2025,https://collegedunia.com/university/28197-national-institute-of-technology-nit-uttarakhand-srinagar-garhwal,https://collegedunia.com/university/28197-national-institute-of-technology-nit-uttarakhand-srinagar-garhwal/reviews
37,"National Institute of Technology - [NIT], Raipur","₹ 1,25,000","₹ 11,07,000","₹ 60,00,000",3.9 / 5,#61 th / 500 in India 2025,https://collegedunia.com/university/25442-national-institute-of-technology-nit-raipur,https://collegedunia.com/university/25442-national-institute-of-technology-nit-raipur/reviews
48,"National Institute of Technology - [NIT], South Goa","₹ 1,47,500","₹ 9,24,000","₹ 20,00,000",3.7 / 5,#62 th / 500 in India 2025,https://collegedunia.com/university/25475-national-institute-of-technology-nit-south-goa,https://collegedunia.com/university/25475-national-institute-of-technology-nit-south-goa/reviews
